NO_URF,COD_URF
0217602 - BARCARENA,BCR
0217802 - IRF - BARCARENA,BCR
0520100 - ARACAJU,ACJ
1011000 - SANTANA DO LIVRAMENTO,SNT
1015600 - SANTANA DO LIVRAMENTO,SNT
0240152 - SANTANA,SNT
1017900 - ALF - SANTANA DO LIVRAMENTO,SNT
1010351 - IRF SANTANA DO LIVRAMENTO,SNT
0927601 - IMBITUBA,IMB
0925251 - IMBITUBA,IMB
0927502 - IRF - IMBITUBA,IMB
0925100 - ITAJAI,ITJ
0920600 - ITAJAI,ITJ
0927800 - ITAJAI,ITJ
0260151 - PACARAIMA,PCR
0517600 - PORTO DE SALVADOR,SAL
0517800 - ALF - SALVADOR,SAL
0517801 - IRF - AEROPORTO INTERNACIONAL DE SALVADOR,SAL
0210200 - SANTAREM,STM
0220101 - ITACOATIARA,ITC
0727600 - PORTO DE VITORIA,VIT
0720100 - VITORIA,VIT
0320100 - SAO LUIS,SLU
0325100 - PORTO DE SAO LUIS,SLU
0327600 - PORTO DE SAO LUIS,SLU
0317903 - IRF SAO LUIS,SLU
0920251 - SAO FRANCISCO DO SUL,SFS
0927700 - PORTO DE SAO FRANCISCO DO SUL,SFS
0917600 - PORTO DE PARANAGUA,PNG
0910700 - PARANAGUA,PNG
0917800 - PORTO DE PARANAGUA,PNG
1010500 - RIO GRANDE,RGR
1017700 - PORTO DE RIO GRANDE,RGR
0817800 - PORTO DE SANTOS,STS
0810600 - SANTOS,STS

