COD_COMM,COD_URF
SBM,RGR
SBS,SLU
SBM,STS
SBS,STS
SBM,SFS
SBO,SFS
SBS,SFS
SBS,RGR
SBM,VIT
SBS,ITC
SBS,SAL
COS,STS
SBO,RGR
SBS,VIT
COS,RGR
SBM,ITA
SBS,ITA
COS,SNT
SBS,PCR
SBS,SNT
SBM,PNG
SBO,PNG
SBS,PNG
WHM,STS
COS,PCR
SBO,SAL
SBO,ITA
SBO,STS
WHS,STS
COS,SAL
COS,PNG
WHM,ITA
WHM,PNG
WHS,PNG
COS,VIT
COS,SFS
WHM,PCR
WHS,SFS
COS,ITA
WHM,VIT
SBS,STM
WHS,RGR
WHS,ITA
WHM,SFS
COS,STM
SBM,SLU
SBO,IMB
SBO,SNT
WHM,RGR
SBM,SAL
SBM,SNT
WHM,SNT
SBO,SLU
WHS,BCR
SBO,BCR
WHM,BCR
COS,SLU
COS,BCR
WHS,SNT
SBM,BCR
COS,IMB
SBS,BCR
SBS,IMB
SBS,ACJ
WHS,IMB
SBO,PCR
SBM,IMB
WHM,SAL
WHS,PCR
SBO,VIT
WHM,STM
WHM,IMB
SBO,ACJ
WHM,ACJ
SBM,ACJ
WHM,SLU
COS,ACJ
WHS,SLU
WHS,STM
WHS,VIT
SBM,PCR
SBO,STM
SBM,STM
WHS,SAL
WHS,ACJ
